experiment,runs,products,mean_waitingTimeRegion1,median_waitingTimeRegion1,mean_waitingTimeRegion3,median_waitingTimeRegion3,mean_totalWaitingTimeRegions,median_totalWaitingTimeRegions,mean_travelTimeRegion1,median_travelTimeRegion1,mean_travelTimeRegion3,median_travelTimeRegion3,mean_totalTravelTimeRegions,median_totalTravelTimeRegions,mean_processingTimeRegion2,median_processingTimeRegion2,mean_totalQualityDecayRegions,median_totalQualityDecayRegions,mean_qualityDecayUntillDroppedOffRegion2,median_qualityDecayUntillDroppedOffRegion2,mean_qualityDecayUntillDroppedOffRegion3,median_qualityDecayUntillDroppedOffRegion3,mean_totalTimeInSystemInSeconds,median_totalTimeInSystemInSeconds
10,20,134802,5.370589545407338,0.74195,9.179804534799187,4.8057,14.323210432767192,10.8813,14.410811783207965,15.0,19.36252442619546,20.0,31.125716198895915,26.25,52.51755,55.1609,86.23850334316445,88.6315326743,93.75735653786737,96.58704366885,86.23850334316445,88.6315326743,272.37112422529447,269.59224932838697
14,20,134802,1.3739436351092715,0.0,4.194397358347799,0.0,5.543083653689164,1.46625,11.895001557840388,6.25,16.602850096437738,8.3333,27.328791469219667,23.3333,52.51755,55.1609,89.8210773962202,92.17124590555,95.72642919411835,96.9233234476,89.8210773962202,92.17124590555,258.0279426524319,255.93297323917977
23,20,128134,15.848318148188614,15.0,20.301232253207008,20.0,34.46346034097741,35.0,23.349657389919926,30.0,30.373225160386884,37.5,46.844832845290384,50.0,51.5687,54.9577,42.85780036392104,54.5677603321,77.09505455856505,81.11286074155,42.85780036392104,54.5677603321,1585.849513310852,448.0429955047466
