experiment_id,region,vehicle_type_clean,products,mean_waiting_time,mean_travel_time,total_region_products,share
10,Region 1,UAV,66941,0.9296172569874965,6.25,134802,0.49658758772125045
10,Region 1,HDF,34107,5.276474547746797,15.0,134802,0.2530155338941559
10,Region 1,AGV,33754,14.273033883391598,30.0,134802,0.2503968783845937
10,Region 3,UAV,64469,1.8374367758147327,8.3333,134802,0.47824958086675273
10,Region 3,AGV,38069,21.108694460059365,37.5,134802,0.2824067892167772
10,Region 3,HDF,32264,9.77595493429209,20.0,134802,0.23934362991647007
14,Region 1,UAV,82512,0.41328570632150474,6.25,134802,0.6120977433569235
14,Region 1,HDF,32062,1.9902978104921714,15.0,134802,0.23784513582884526
14,Region 1,AGV,20228,4.315621480126557,30.0,134802,0.15005712081423125
14,Region 3,UAV,78039,1.0670919053293866,8.3333,134802,0.5789157430898652
14,Region 3,HDF,30905,5.904977734994337,20.0,134802,0.22926217711903385
14,Region 3,AGV,25858,11.58809771057313,37.5,134802,0.19182207979110102
23,Region 1,AGV,71325,18.606158945671222,30.0,128134,0.5566438259946619
23,Region 1,HDF,56809,12.385785893080323,15.0,128134,0.44335617400533817
23,Region 3,AGV,72821,23.020164808228394,37.5,122856,0.5927345835775216
23,Region 3,HDF,50035,16.344094497851504,20.0,122856,0.4072654164224783
