experiment,runs,cases,events,activities,variants,main_variant_cases,main_variant_share,complete_cases,complete_case_share
10,20,152752,1666336,11,13,150238,0.9835419503508955,150238,0.9835419503508955
14,20,152678,1666266,11,15,150297,0.9844050878319077,150297,0.9844050878319077
23,20,154912,1582452,12,17,132224,0.8535426564759347,132224,0.8535426564759347
