experiment,runs,products,mean_waitingTimeRegion1,mean_waitingTimeRegion3,mean_totalWaitingTimeRegions,mean_totalTravelTimeRegions,mean_totalTimeInSystemInSeconds,mean_totalQualityDecayRegions
10,20,134802,5.370589545407338,9.179804534799187,14.323210432767192,31.125716198895915,272.37112422529447,86.23850334316445
14,20,134802,1.3739436351092715,4.194397358347799,5.543083653689164,27.328791469219667,258.0279426524319,89.8210773962202
23,20,128134,15.848318148188614,20.301232253207008,34.46346034097741,46.844832845290384,1585.849513310852,42.85780036392104
